video,joint,frame_since_strike,cycle_mean_deg,norm_mean_deg,delta_deg,inlier_cycle_count,total_cycle_count,max_cycle_length
1,right_ankle,0,120.4406756213172,0.0,120.4406756213172,6,7,166
1,right_ankle,1,120.78297009614158,-0.4455,121.22847009614158,6,7,166
1,right_ankle,2,121.10480743981884,-0.8883012048192771,121.99310864463811,6,7,166
1,right_ankle,3,121.40397068561184,-1.3254518072289156,122.72942249284075,6,7,166
1,right_ankle,4,121.67851789154332,-1.7506506024096387,123.42916849395296,6,7,166
1,right_ankle,5,121.92677693976873,-2.169313253012048,124.09609019278078,6,7,166
1,right_ankle,6,122.14733554993263,-2.561951807228916,124.70928735716156,6,7,166
1,right_ankle,7,122.3386482870045,-2.9434698795180725,125.28211816652258,6,7,166
1,right_ankle,8,122.49937785786314,-3.3001084337349393,125.79948629159807,6,7,166
1,right_ankle,9,122.62891545445301,-3.6288192771084335,126.25773473156144,6,7,166
1,right_ankle,10,122.72660412499091,-3.940132530120482,126.6667366551114,6,7,166
1,right_ankle,11,122.79283654855523,-4.201584337349398,126.99442088590463,6,7,166
1,right_ankle,12,122.82756579794142,-4.443373493975904,127.27093929191732,6,7,166
1,right_ankle,13,122.83063789833095,-4.638987951807229,127.46962585013817,6,7,166
1,right_ankle,14,122.80139184117932,-4.792674698795181,127.5940665399745,6,7,166
1,right_ankle,15,122.7408604556092,-4.916722891566265,127.65758334717546,6,7,166
1,right_ankle,16,122.64896545140327,-4.9675783132530125,127.61654376465629,6,7,166
1,right_ankle,17,122.52674765195486,-4.99116265060241,127.51791030255727,6,7,166
1,right_ankle,18,122.37511343380204,-4.948819277108433,127.32393271091047,6,7,166
1,right_ankle,19,122.19451544314369,-4.861415662650602,127.05593110579429,6,7,166
1,right_ankle,20,121.98570021834958,-4.737963855421687,126.72366407377126,6,7,166
1,right_ankle,21,121.74900294683653,-4.550048192771084,126.29905113960761,6,7,166
1,right_ankle,22,121.48657104749873,-4.3395060240963845,125.82607707159511,6,7,166
1,right_ankle,23,121.1995919327059,-4.074710843373493,125.2743027760794,6,7,166
1,right_ankle,24,120.88915012747684,-3.7782771084337345,124.66742723591058,6,7,166
1,right_ankle,25,120.55663609051938,-3.453246987951806,124.00988307847118,6,7,166
1,right_ankle,26,120.20398178278599,-3.08267469879518,123.28665648158116,6,7,166
1,right_ankle,27,119.83268911417025,-2.6958795180722888,122.52856863224254,6,7,166
1,right_ankle,28,119.44526181954609,-2.2700602409638555,121.71532206050995,6,7,166
1,right_ankle,29,119.04433409256573,-1.8247590361445782,120.86909312871032,6,7,166
1,right_ankle,30,118.63232362161648,-1.3595783132530113,119.99190193486949,6,7,166
1,right_ankle,31,118.21172020085292,-0.8665843373493969,119.07830453820232,6,7,166
1,right_ankle,32,117.78561852562653,-0.3637831325301203,118.14940165815665,6,7,166
1,right_ankle,33,117.35737437219687,0.1610361445783129,117.19633822761855,6,7,166
1,right_ankle,34,116.9314929578738,0.6949999999999998,116.2364929578738,6,7,166
1,right_ankle,35,116.511284197124,1.2395000000000005,115.27178419712399,6,7,166
1,right_ankle,36,116.1006156531596,1.7943373493975914,114.306278303762,6,7,166
1,right_ankle,37,115.70395285430853,2.352620481927713,113.35133237238081,6,7,166
1,right_ankle,38,115.32599233158169,2.9162048192771106,112.40978751230458,6,7,166
1,right_ankle,39,114.97040035009958,3.4792710843373515,111.49112926576223,6,7,166
1,right_ankle,40,114.6424388602389,4.04166265060241,110.60077620963649,6,7,166
1,right_ankle,41,114.34675295098725,4.598180722891566,109.74857222809568,6,7,166
1,right_ankle,42,114.08611646835375,5.151614457831326,108.93450201052242,6,7,166
1,right_ankle,43,113.8640158462836,5.691343373493978,108.17267247278963,6,7,166
1,right_ankle,44,113.68349004620484,6.222638554216869,107.46085149198797,6,7,166
1,right_ankle,45,113.54701981880551,6.741493975903614,106.8055258429019,6,7,166
1,right_ankle,46,113.4573325404444,7.239530120481928,106.21780241996247,6,7,166
1,right_ankle,47,113.41651162345347,7.728012048192772,105.6884995752607,6,7,166
1,right_ankle,48,113.42383845096647,8.183650602409639,105.24018784855683,6,7,166
1,right_ankle,49,113.47684467993503,8.623686746987953,104.85315793294707,6,7,166
1,right_ankle,50,113.57318257380115,9.037578313253015,104.53560426054813,6,7,166
1,right_ankle,51,113.70976140654223,9.417385542168676,104.29237586437355,6,7,166
1,right_ankle,52,113.88255530305776,9.781253012048193,104.10130229100956,6,7,166
1,right_ankle,53,114.08668737937002,10.090777108433736,103.99591027093628,6,7,166
1,right_ankle,54,114.31611884264214,10.378795180722893,103.93732366191925,6,7,166
1,right_ankle,55,114.564149999788,10.625698795180725,103.93845120460728,6,7,166
1,right_ankle,56,114.82390268340782,10.826481927710844,103.99742075569698,6,7,166
1,right_ankle,57,115.08785719647263,11.004204819277108,104.08365237719552,6,7,166
1,right_ankle,58,115.34900621858549,11.1075421686747,104.24146404991079,6,7,166
1,right_ankle,59,115.60055183628596,11.183975903614458,104.4165759326715,6,7,166
1,right_ankle,60,115.83532828480622,11.203060240963856,104.63226804384237,6,7,166
1,right_ankle,61,116.0470098638523,11.16521686746988,104.88179299638242,6,7,166
1,right_ankle,62,116.23143107982963,11.094843373493976,105.13658770633566,6,7,166
1,right_ankle,63,116.38480643292739,10.931759036144578,105.45304739678281,6,7,166
1,right_ankle,64,116.50454264572018,10.735759036144577,105.7687836095756,6,7,166
1,right_ankle,65,116.58723407161206,10.466192771084335,106.12104130052772,6,7,166
1,right_ankle,66,116.63338328224165,10.129759036144577,106.50362424609708,6,7,166
1,right_ankle,67,116.64236038086169,9.749861445783134,106.89249893507855,6,7,166
1,right_ankle,68,116.6171123582775,9.268542168674697,107.3485701896028,6,7,166
